L1,L2,L3,L4,L5,L6,Name,Display Code,UOM,Sub Reporting?,Account Description,L2 Description,Core,Core Extentension,WBS,P6 Cost Account,G/L,Cost Type PC,Cost Type Spectrum,Cost Category,Discipline,Cost Code,Description,Column1,Column2
012,10,10,00,00,L,Contract Manager,012-10-1000-00-L,HR,,Home Office Construction Support,Management,05210300000L,,,,,,,,,01210100000L,"Contract manager labor responsible for managing contractual obligations, change orders, scope modifications, commercial terms, and owner/subcontractor agreement administration.",,
012,10,20,00,00,L,Commissioning Manager,012-10-2000-00-L,HR,,Home Office Construction Support,Management,05210400000L,,,,,,,,,01210200000L,"Labor costs for the Commissioning Manager responsible for planning, coordinating, and overseeing all commissioning and startup activities from the home office.",,
012,15,00,00,00,L,Supervision,012-15-0000-00-L,HR,,Home Office Construction Support,Supervision,05215000000L,,,,,,,,,01215000000L,Summary category for field supervision labor providing on-site oversight and direction of all construction activities across disciplines.,,
012,15,10,00,00,L,General Field,012-15-1000-00-L,HR,,Home Office Construction Support,Supervision,05215100000L,,,,,,,,,01215100000L,"General field supervision labor including the site superintendent or general superintendent responsible for day-to-day field operations, crew coordination, and schedule execution.",,
012,25,00,00,00,L,Administration,012-25-0000-00-L,HR,,Home Office Construction Support,Administration,05225000000L,,,,,,,,,01225000000L,"Summary category for administrative support labor performing office management, clerical, and document control functions for the project.",,
012,25,10,00,00,L,Office Manager,012-25-1000-00-L,HR,,Home Office Construction Support,Administration,05225100000L,,,,,,,,,01225100000L,"Office manager labor responsible for coordinating administrative operations, managing office staff, maintaining supplies, and ensuring smooth daily function of the project office.",,
012,25,20,00,00,L,Clerical,012-25-2000-00-L,HR,,Home Office Construction Support,Administration,05225200000L,,,,,,,,,01225200000L,"Clerical labor providing general administrative support including data entry, filing, correspondence, phone management, and administrative assistance to project staff.",,
012,25,30,00,00,L,Document Control Manager,012-25-3000-00-L,HR,,Home Office Construction Support,Administration,05225300000L,,,,,,,,,01225300000L,"Document control manager labor responsible for establishing and overseeing the document management system, transmittals, revision control, and records management procedures.",,
012,25,40,00,00,L,Document Control Clerk,012-25-4000-00-L,HR,,Home Office Construction Support,Administration,05225400000L,,,,,,,,,01225400000L,"Document control clerk labor performing day-to-day document processing, filing, distribution, tracking of submittals, RFIs, and maintaining the project document management system.",,
012,30,00,00,00,L,Procurement/Subcontract,012-30-0000-00-L,HR,,Home Office Construction Support,Procurement/Subcontract,05230000000L,,,,,,,,,01230000000L,"Summary category for procurement and subcontract management labor responsible for purchasing materials, equipment, and managing subcontractor agreements for the project.",,
012,30,10,00,00,L,Procurement Manager,012-30-1000-00-L,HR,,Home Office Construction Support,Procurement/Subcontract,05230100000L,,,,,,,,,01230100000L,"Procurement manager labor responsible for overall procurement strategy, vendor qualification, purchase order management, and coordination of material deliveries to the project.",,
012,30,20,00,00,L,Procurement Administrator,012-30-2000-00-L,HR,,Home Office Construction Support,Procurement/Subcontract,05230200000L,,,,,,,,,01230200000L,"Procurement administrator labor supporting the purchasing function including processing requisitions, tracking orders, expediting deliveries, and maintaining procurement records.",,
012,30,30,00,00,L,Buyer,012-30-3000-00-L,HR,,Home Office Construction Support,Procurement/Subcontract,05230300000L,,,,,,,,,01230300000L,"Buyer labor responsible for sourcing materials and equipment, obtaining competitive bids, negotiating pricing, and issuing purchase orders for project materials.",,
012,30,40,00,00,L,Subcontract Manager,012-30-4000-00-L,HR,,Home Office Construction Support,Procurement/Subcontract,05230400000L,,,,,,,,,01230400000L,"Subcontract manager labor responsible for subcontractor pre-qualification, bid evaluation, contract negotiation, award, and overall management of subcontractor relationships.",,
012,30,50,00,00,L,Subcontract Administrator,012-30-5000-00-L,HR,,Home Office Construction Support,Procurement/Subcontract,05230500000L,,,,,,,,,01230500000L,"Subcontract administrator labor supporting subcontract management including processing pay applications, tracking insurance certificates, managing change orders, and maintaining subcontract files.",,
012,35,00,00,00,L,Project Controls,012-35-0000-00-L,HR,,Home Office Construction Support,Project Controls,05235000000L,,,,,,,,,01235000000L,"Summary category for project controls labor responsible for cost management, scheduling, progress measurement, and reporting functions that monitor and control project performance.",,
012,35,05,00,00,L,Project Controls Manager,012-35-0500-00-L,HR,,Home Office Construction Support,Project Controls,05235100000L,,,,,,,,,01235050000L,"Project controls manager labor responsible for leading the project controls team, establishing control systems, and providing integrated cost and schedule analysis to project leadership.",,
012,35,10,00,00,L,Cost Management,012-35-1000-00-L,HR,,Home Office Construction Support,Project Controls,05200000000L,,,,,,,,,01235100000L,"Scheduling labor responsible for developing, maintaining, and updating the project schedule including critical path analysis, resource loading, and progress tracking.",,
012,35,15,00,00,L,Contracting & Procurement Controls,012-35-1500-00-L,HR,,Home Office Construction Support,Project Controls,05200000000L,,,,,,,,,01235150000L,"Labor for contracting and procurement controls personnel supporting contract administration, procurement tracking, and vendor management activities from the home office.",,
012,35,20,00,00,L,Planning & Scheduling,012-35-2000-00-L,HR,,Home Office Construction Support,Project Controls,05200000000L,,,,,,,,,01235200000L,"Labor for planning and scheduling personnel responsible for developing, maintaining, and reporting on the integrated project schedule from the home office.",,
012,35,25,00,00,L,Progress & Performance,012-35-2500-00-L,HR,,Home Office Construction Support,Project Controls,05200000000L,,,,,,,,,01235250000L,"Labor for progress and performance monitoring personnel responsible for tracking physical progress, earned value, and KPI reporting from the home office.",,
012,35,30,00,00,L,Change Management,012-35-3000-00-L,HR,,Home Office Construction Support,Project Controls,05200000000L,,,,,,,,,01235300000L,"Labor for change management personnel responsible for identifying, evaluating, and processing project changes including scope, schedule, and cost impacts.",,
012,35,35,00,00,L,Reporting & Dashboards,012-35-3500-00-L,HR,,Home Office Construction Support,Project Controls,05200000000L,,,,,,,,,01235350000L,"Labor for reporting and dashboard personnel responsible for compiling, analyzing, and distributing project status reports and management dashboards from the home office.",,
012,35,40,00,00,L,Risk Management,012-35-4000-00-L,HR,,Home Office Construction Support,Project Controls,05200000000L,,,,,,,,,01235400000L,"Cost engineering labor responsible for cost estimating, budgeting, forecasting, earned value analysis, change order pricing, and financial performance reporting.",,
012,45,00,00,00,L,Safety,012-45-0000-00-L,HR,,Home Office Construction Support,Safety,05245000000L,,,,,,,,,01245000000L,"Summary category for safety management labor responsible for developing and enforcing the project safety program, ensuring regulatory compliance, and promoting a zero-incident culture.",,
012,45,10,00,00,L,Safety Manager,012-45-1000-00-L,HR,,Home Office Construction Support,Safety,05245100000L,,,,,,,,,01245100000L,"Safety manager labor responsible for developing the site-specific safety plan, conducting safety orientations, leading incident investigations, and interfacing with regulatory agencies.",,
012,45,20,00,00,L,Safety Inspector,012-45-2000-00-L,HR,,Home Office Construction Support,Safety,05245200000L,,,,,,,,,01245200000L,"Safety inspector labor performing daily field safety inspections, hazard identification, toolbox talk facilitation, permit auditing, and enforcement of safety standards on site.",,
012,45,30,00,00,L,Safety Supplies,012-45-3000-00-L,HR,,,,,,,,,,,,,01245300000L,"Safety supplies for the project including personal protective equipment (PPE), first aid kits, fire extinguishers, safety cones, barricade tape, and safety signage.",,
012,45,50,00,00,L,Orientation/Training,012-45-5000-00-L,HR,,,,,,,,,,,,,01245500000L,Costs for worker orientation and site-specific training programs.,,
012,45,60,00,00,L,3rd Party Training,012-45-6000-00-L,HR,,,,,,,,,,,,,01245600000L,Costs for third-party specialized training and certifications.,,
012,50,00,00,00,L,Quality,012-50-0000-00-L,HR,,Home Office Construction Support,Quality,05250000000L,,,,,,,,,01250000000L,"Summary category for quality management labor responsible for establishing and implementing the project quality program including inspections, testing, and documentation.",,
012,50,10,00,00,L,Quality Manager,012-50-1000-00-L,HR,,Home Office Construction Support,Quality,05250100000L,,,,,,,,,01250100000L,"Quality manager labor responsible for developing the quality management plan, overseeing QA/QC procedures, managing non-conformance reports, and coordinating third-party inspections.",,
012,50,20,00,00,L,Quality Inspector,012-50-2000-00-L,HR,,Home Office Construction Support,Quality,05250200000L,,,,,,,,,01250200000L,"Quality inspector labor performing field inspections, material verification, weld inspections, concrete testing oversight, and documentation of quality records and test results.",,
012,55,00,00,00,L,Material Control,012-55-0000-00-L,HR,,Home Office Construction Support,Material Control,05255000000L,,,,,,,,,01255000000L,"Material control labor for receiving, inventorying, storing, and tracking materials and equipment at the project site, including warehouse management and material logistics.",,
012,55,10,00,00,L,Material Manager,012-55-1000-00-L,HR,,,,,,,,,,,,,01255100000L,Labor cost for the project material management staff.,,
012,55,20,00,00,L,Shipping/Receiving ,012-55-2000-00-L,HR,,,,,,,,,,,,,01255200000L,Labor cost for on-site shipping and receiving personnel.,,
012,70,00,00,00,L,Work Gap Allowance,012-70-0000-00-L,56,,Home Office Construction Support,WGA,05270000000L,,,,,,,,,01270000000L,Summary category for non-productive labor allowances covering anticipated work gaps and schedule interruptions that reduce productive field and office hours.,,
012,70,10,00,00,L,Sickleave,012-70-1000-00-L,HR,,Home Office Construction Support,WGA,05270100000L,,,,,,,,,01270100000L,Sick leave allowance for project staff including anticipated paid time off for illness and medical appointments during the project duration.,,
012,70,30,00,00,L,Haskell Orientation,012-70-3000-00-L,HR,,Home Office Construction Support,WGA,05270300000L,,,,,,,,,01270300000L,"Labor time allocated for Haskell corporate orientation and onboarding activities including safety orientation, company policies, and project-specific induction training for new staff.",,
012,75,00,00,00,0,Employee Expenses,012-75-0000-00-0,LS,,Home Office Construction Support,Employee Expenses,052750000000,,,,,,,,,012750000000,"Summary category for employee-related expenses including travel, housing, and other reimbursable costs incurred by project staff assigned to the job site.",,
012,75,05,00,00,L,Home Office Travel Time,012-75-0500-00-L,HR,,Home Office Construction Support,Employee Expenses,05275050000L,,,,,,,,,01275050000L,"Labor hours for home office staff travel time to and from the project site, including mobilization and demobilization travel for corporate-based personnel.",,
012,75,10,00,00,O,Home Office Travel,012-75-1000-00-O,LS,,Home Office Construction Support,Employee Expenses,05275100000O,,,,,,,,,01275100000O,"Travel expenses for home office personnel visiting the project site including airfare, ground transportation, mileage reimbursement, and associated travel costs.",,
012,75,30,00,00,O,Staffing Housing/Camp,012-75-3000-00-O,MO,,Home Office Construction Support,Employee Expenses,05200000000L,,,,,,,,,01275300000O,"Housing and camp costs for project staff including temporary housing, furnished apartments, man-camp accommodations, and related lodging expenses for field-assigned personnel.",,
012,75,60,00,00,O,Client Entertainment,012-75-6000-00-O,LS,,Home Office Construction Support,Employee Expenses,05275600000O,,,,,,,,,01275600000O,"Client entertainment expenses including business meals, site visits, project milestone events, and relationship-building activities with the owner and key stakeholders.",,
012,80,00,00,00,0,Equipment Costs,012-80-0000-00-0,LS,,Home Office Construction Support,Equipment Costs,052800000000,,,,,,,,,012800000000,"Summary category for equipment costs associated with administrative and home office support functions including office equipment, vehicles, and related assets.",,
012,80,10,00,00,L,Fleet Manager,012-80-1000-00-L,HR,,,,,,,,,,,,,01280100000L,Labor cost for the construction fleet management staff.,,
012,80,20,00,00,O,Equipment Maintenance,012-80-2000-00-O,LS,,,,,,,,,,,,,01280200000O,Costs to maintain and repair construction equipment.,,
012,80,30,00,00,O,Equipment Freight Cost,012-80-3000-00-O,LS,,,,,,,,,,,,,01280300000O,Freight and transportation costs for construction equipment.,,
012,85,00,00,00,O,Consumables (used one time),012-85-0000-00-O,LS,,Home Office Construction Support,Consumables,05285000000O,,,,,,,,,01285000000O,"Summary category for consumable items used one time in administrative operations, including office supplies, testing materials, and other single-use items.",,
012,85,05,00,00,O,Office Consumables,012-85-0500-00-O,LS,,Home Office Construction Support,Consumables,05285050000O,,,,,,,,,01285050000O,"Office consumables including paper, toner, pens, binders, printer cartridges, and other expendable office supplies consumed during daily project administration.",,
012,85,10,00,00,O,Drinking Water,012-85-1000-00-O,LS,,Home Office Construction Support,Consumables,05285200000O,,,,,,,,,01285100000O,"Drinking water supplies for the project office and field areas including bottled water, water cooler service, and dispensing equipment.",,
012,85,40,00,00,O,Drug Testing Kits,012-85-4000-00-O,EA,,,,,,,,,,,,,01285400000O,Cost of drug and alcohol testing kits and laboratory analysis for pre-employment and for-cause testing programs,,
012,90,00,00,00,O,Small Tools,012-90-0000-00-O,LS,,Home Office Construction Support,Small Tools,05290000000O,,,,,,,,,01290000000O,"Small tools and portable equipment used in administrative and support functions including hand tools, measurement devices, and other minor portable items.",,
012,95,00,00,00,O,Supplies (can be reused) / Services,012-95-0000-00-O,LS,,Home Office Construction Support,Supplies,05295000000O,,,,,,,,,01295000000O,"Summary category for reusable supplies and contracted services supporting administrative operations including office equipment, communications, and general project services.",,
012,95,03,00,00,O,Freight/Shipping/Mail,012-95-0300-00-O,LS,,Home Office Construction Support,Supplies,05295020000O,,,,,,,,,01295030000O,"Summary category for freight, shipping, and mail services including all modes of transport for project documents, materials, and equipment.",,
012,95,03,01,00,O,Freight/Shipping/Mail,012-95-0301-00-O,LS,,Home Office Construction Support,Supplies,05295021000O,,,,,,,,,01295030100O,"General freight, shipping, and mail expenses for routine project deliveries, correspondence, and package handling across all transport modes.",,
012,95,03,10,00,O,Ground Freight,012-95-0310-00-O,LS,,Home Office Construction Support,Supplies,05295022000O,,,,,,,,,01295031000O,"Ground freight services including trucking, courier, and standard ground shipping for materials, documents, and equipment delivered to the project site.",,
012,95,03,20,00,O,Air Freight,012-95-0320-00-O,LS,,Home Office Construction Support,Supplies,05295023000O,,,,,,,,,01295032000O,"Air freight services for expedited shipment of time-critical materials, documents, and equipment requiring rapid delivery to the project site.",,
012,95,03,30,00,O,Ocean Freight,012-95-0330-00-O,LS,,Home Office Construction Support,Supplies,05295024000O,,,,,,,,,01295033000O,Ocean freight services for international or long-distance shipping of heavy or bulk materials and equipment via maritime transport to the project.,,
012,95,21,00,00,O,Signage,012-95-2100-00-O,EA,,Home Office Construction Support,Supplies,05295210000O,,,,,,,,,01295210000O,"Project signage including safety signs, directional signs, project identification boards, regulatory postings, and temporary wayfinding signage on site.",,
012,95,30,00,00,O,Office Space Lease,012-95-3000-00-O,MO,,Home Office Construction Support,Supplies,05295300000O,,,,,,,,,01295300000O,"Office space lease costs for the project office including rent, utilities, common area maintenance, and other occupancy expenses for temporary or permanent project office facilities.",,
012,95,39,00,00,O,Furniture,012-95-3900-00-O,LS,,Home Office Construction Support,Supplies,05295390000O,,,,,,,,,01295390000O,"Office furniture costs including desks, chairs, filing cabinets, conference tables, and other furnishings for the project office and field trailer facilities.",,
012,95,42,00,00,O,Landline Phone,012-95-4200-00-O,MO,,Home Office Construction Support,Supplies,05295420000O,,,,,,,,,01295420000O,"Landline telephone service costs for the project office including phone lines, handsets, voicemail systems, and monthly service charges.",,
012,95,45,00,00,O,Cell Phone,012-95-4500-00-O,MO,,Home Office Construction Support,Supplies,05295300000O,,,,,,,,,01295450000O,"Cell phone costs for project personnel including mobile devices, monthly service plans, data charges, and accessories for staff requiring mobile communication.",,
012,95,48,00,00,O,Internet,012-95-4800-00-O,MO,,Home Office Construction Support,Supplies,05295480000O,,,,,,,,,01295480000O,"Internet service costs for the project office and field facilities including broadband connections, Wi-Fi equipment, and monthly service charges for data connectivity.",,
012,95,51,00,00,O,Computer,012-95-5100-00-O,MO,,Home Office Construction Support,Supplies,05295510000O,,,,,,,,,01295510000O,"Computer hardware costs for the project including desktop workstations, laptops, monitors, docking stations, and peripheral devices for project staff.",,
012,95,54,00,00,O,Software,012-95-5400-00-O,MO,,Home Office Construction Support,Supplies,05295360000O,,,,,,,,,01295540000O,"Software costs for the project including licenses for project management, scheduling, cost control, document management, CAD, and other specialized project software applications.",,
012,95,57,00,00,O,Copier,012-95-5700-00-O,MO,,Home Office Construction Support,Supplies,05295570000O,,,,,,,,,01295570000O,"Copier and multifunction printer costs including equipment lease/purchase, toner, maintenance agreements, and per-copy charges for project document reproduction.",,
012,95,60,00,00,O,Waste (Dumpster),012-95-6000-00-O,LS,,Home Office Construction Support,Supplies,05295000000O,,,,,,,,,01295600000O,"Waste disposal costs including dumpster rental, trash collection service, recycling, and general waste management for the project office and administrative areas.",,
012,95,63,00,00,O,Security,012-95-6300-00-O,MO,,Home Office Construction Support,Supplies,05265240000L,,,,,,,,,01295630000O,"Security services for the project site and office including guard services, access control systems, surveillance equipment, badge systems, and security monitoring.",,
012,95,69,00,00,O,Safety Supplies,012-95-6900-00-O,LS,,Home Office Construction Support,Supplies,05295690000O,,,,,,,,,01295690000O,"Safety supplies for the project including personal protective equipment (PPE), first aid kits, fire extinguishers, safety cones, barricade tape, and safety signage.",,
013,00,00,00,00,O,Project Costs,013-00-0000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01300000000O,"Summary category for miscellaneous project-level costs not classified under labor, materials, or standard support categories, including bonds, insurance, taxes, and contingency.",,
013,10,00,00,00,O,Bonds,013-10-0000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01310000000O,"Summary category for surety bond costs required for the project including performance bonds, payment bonds, and other bonding requirements.",,
013,10,10,00,00,O,Bond,013-10-1000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01310100000O,General bond costs for the project including surety premiums and bonding-related administrative fees.,,
013,10,20,00,00,O,Payment & Performance,013-10-2000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01310200000O,Payment and performance bond costs providing surety guarantees to the owner for completion of work and payment of subcontractors and material suppliers.,,
013,20,00,00,00,O,Insurance,013-20-0000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01320000000O,"Summary category for project insurance costs including all risk, general liability, and professional liability coverage required for the project.",,
013,20,10,00,00,O,Insurance,013-20-1000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01320100000O,General insurance costs for the project including premiums and related administrative expenses for required project insurance coverage.,,
013,20,20,00,00,O,All Risk,013-20-2000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01320200000O,"All risk (builder's risk) insurance covering property damage, theft, and natural disaster losses to the project during construction.",,
013,20,30,00,00,O,General Liability,013-20-3000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01320300000O,"General liability insurance covering bodily injury, property damage, and personal injury claims arising from project construction operations.",,
013,20,40,00,00,O,Professional Liability,013-20-4000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01320400000O,"Professional liability (errors and omissions) insurance covering claims arising from design errors, engineering mistakes, or professional negligence on the project.",,
013,30,00,00,00,O,Finance Charges,013-30-0000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01330000000O,"Finance charges and interest costs associated with project financing, letters of credit, payment terms, and other financial instruments supporting the project.",,
013,40,00,00,00,O,Taxes,013-40-0000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01340000000O,"Summary category for all tax obligations associated with the project including business & occupation, property, and sales and use taxes.",,
013,40,10,00,00,O,B&O,013-40-1000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01340100000O,Business and occupation (B&O) tax costs applicable to the project based on gross receipts or other jurisdictional tax assessments.,,
013,40,20,00,00,O,Property,013-40-2000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01340200000O,"Property tax costs for project-owned or leased assets, temporary structures, and equipment subject to local property tax assessments during construction.",,
013,40,30,00,00,O,Sales and Use,013-40-3000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01340300000O,"Sales and use tax costs on materials, equipment, and services purchased for the project, based on applicable state and local tax rates.",,
013,50,00,00,00,O,Permitting,013-50-0000-00-O,LS,,Home Office Construction Support,Project Costs,05200000000L,,,,,,,,,01350000000O,"Permitting costs including building permits, environmental permits, specialty trade permits, and all government-required approvals and licensing fees for the project.",,
013,60,00,00,00,O,Licenses,013-60-0000-00-O,LS,,,,,,,,,,,,,01360000000O,"Costs for project permits, licenses, and regulatory fees.",,
020,00,00,00,00,0,Engineering & Design,020-00-0000-00-0,LS,Engineering & Design,Engineering & Design,Summary,,,Engineering & Design,100,,,020-00-00,00,,020000000000,"Encompasses all engineering and design disciplines required to develop, document, and deliver the full project scope from concept through detailed design.",,
022,00,00,00,00,0,Engineering Support,022-00-0000-00-0,LS,Engineering Support,Engineering Support,Summary,,,Engineering & Design,100,,,022-00-00,00,,022000000000,Supporting functions and personnel that enable the effective delivery of engineering activities across all disciplines.,,
022,05,00,00,00,L,Overhead,022-05-0000-00-L,HR,Overhead,Engineering Support,Overhead,010000000000,,,,,,022-05-00,00,,02205000000L,"Indirect costs and administrative overhead allocated to support project operations, including executive, legal, IT, and back-office functions.",,
022,05,10,00,00,L,Executive,022-05-1000-00-L,HR,Executive,Engineering Support,Overhead,010000000000,,,,,,022-05-10,10,,02205100000L,"Senior executive oversight and governance functions supporting the project, including strategic decision-making and client relationship management.",,
022,05,20,00,00,L,Accounting,022-05-2000-00-L,HR,Accounting,Engineering Support,Overhead,010000000000,,,,,,022-05-20,20,,02205200000L,"Financial accounting, cost tracking, invoicing, and reporting functions supporting the project.",,
022,05,30,00,00,O,Legal,022-05-3000-00-O,HR,Legal,Engineering Support,Overhead,010000000000,,,,,,022-05-30,30,,02205300000O,"Legal counsel, contract review, regulatory compliance, and dispute resolution services for the project.",,
022,05,40,00,00,L,Information & Technology,022-05-4000-00-L,HR,Information & Technology,Engineering Support,Overhead,010000000000,,,,,,022-05-40,40,,02205400000L,"IT infrastructure, software licensing, systems administration, and digital tools supporting project delivery.",,
022,05,50,00,00,L,Marketing,022-05-5000-00-L,HR,Marketing,Engineering Support,Overhead,010000000000,,,,,,022-05-50,50,,02205500000L,"Marketing, business development, and proposal support activities associated with the project.",,
022,10,00,00,00,L,Management,022-10-0000-00-L,LS,Management,Engineering Support,Management,052100000000,,,,,,022-10-00,00,,02210000000L,"Overall project and engineering management functions, including leadership, planning, and coordination across all disciplines.",,
022,10,10,00,00,L,Contract Manager,022-10-1000-00-L,HR,Contract Manager,Engineering Support,Management,05210300000L,,,,,,022-10-10,10,,02210100000L,"Responsible for administering prime and subcontracts, tracking obligations, managing change orders, and ensuring contractual compliance.",,
022,10,20,00,00,L,Commissioning Manager,022-10-2000-00-L,HR,Commissioning Manager,Engineering Support,Management,05210400000L,,,,,,022-10-20,20,,02210200000L,"Leads the planning and execution of commissioning and startup activities, coordinating across engineering, construction, and operations teams.",,
022,15,00,00,00,L,Administration,022-15-0000-00-L,LS,Administration,Engineering Support,Administration,05225000000L,,,,,,022-15-00,00,,02215000000L,"General administrative support functions including coordination, scheduling, correspondence, and office management.",,
022,15,10,00,00,L,Office Manager,022-15-1000-00-L,HR,Office Manager,Engineering Support,Administration,05225100000L,,,,,,022-15-10,10,,02215100000L,"Manages day-to-day office operations, facilities, supplies, and administrative staff for the project site or home office.",,
022,15,20,00,00,L,Clerical,022-15-2000-00-L,HR,Clerical,Engineering Support,Administration,05225200000L,,,,,,022-15-20,20,,02215200000L,"Provides clerical and administrative support such as filing, data entry, correspondence, and general office tasks.",,
022,15,30,00,00,L,Document Control Manager,022-15-3000-00-L,HR,Document Control Manager,Engineering Support,Administration,05225300000L,,,,,,022-15-30,30,,02215300000L,"Oversees the document management system, ensures correct document numbering, revision control, and timely distribution of all project documents.",,
022,15,40,00,00,L,Document Control Clerk,022-15-4000-00-L,HR,Document Control Clerk,Engineering Support,Administration,05225400000L,,,,,,022-15-40,40,,02215400000L,"Supports document control activities including receiving, logging, distributing, and filing engineering documents and correspondence.",,
022,20,00,00,00,L,Document Management,022-20-0000-00-L,LS,Document Management,Engineering Support,Document Management,010000000000,,Document & Interface Management,100,,,022-20-00,00,,02220000000L,"Processes, systems, and personnel responsible for controlling the creation, revision, distribution, and archiving of all project documents.",,
022,20,10,00,00,L,Master Document Register <Deliv.>,022-20-1000-00-L,HR,Master Document Register <Deliv.>,Engineering Support,Document Management,010000000000,,Document & Interface Management,100,,,022-20-10,10,,02220100000L,"A comprehensive register listing all project documents, their current revision status, responsible party, and scheduled issue dates.",,
022,20,15,00,00,L,Submission Schedule,022-20-1500-00-L,HR,Sub Reporting?,Account Description,L2 Description,010000000000,,Document & Interface Management,100,,,022-20-15,15,,02220150000L,Description,,
022,20,20,00,00,L,Document Workflows & Approval Matrix <Deliv.>,022-20-2000-00-L,HR,Engineering & Design,Engineering & Design,Summary,010000000000,,Document & Interface Management,100,,,022-20-20,20,,02220200000L,"Encompasses all engineering and design disciplines required to develop, document, and deliver the full project scope from concept through detailed design.",,
022,20,25,00,00,L,Transmittals for Engineering Deliverables,022-20-2500-00-L,HR,Engineering Support,Engineering Support,Summary,010000000000,,Document & Interface Management,100,,,022-20-25,25,,02220250000L,Supporting functions and personnel that enable the effective delivery of engineering activities across all disciplines.,,
022,20,30,00,00,L,Revision Control Records <Deliv.>,022-20-3000-00-L,HR,Overhead,Engineering Support,Overhead,010000000000,,Document & Interface Management,100,,,022-20-30,30,,02220300000L,"Indirect costs and administrative overhead allocated to support project operations, including executive, legal, IT, and back-office functions.",,
022,30,00,00,00,L,Procurement/Subcontract,022-30-0000-00-L,LS,Executive,Engineering Support,Overhead,05230000000L,,,,,,022-30-00,00,,02230000000L,"Senior executive oversight and governance functions supporting the project, including strategic decision-making and client relationship management.",,
